planning_seed,selection_position,selection_hash,episode_index,start_step,goal_step,valid_row_rank,pair_hash,success_A,success_C,success_D
42,0,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,638,25,75,96363,c7cad57533aa8e769efc7ddfb865b3fc3b2aae35ff012adc3751eee5e7000ee9,false,false,true
42,1,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,679,29,79,102558,17827c47613d6809e7665d53f6d095c9e4c946a0632ce4bb7a3f8482407639b7,false,true,true
42,2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,859,65,115,129774,c004df04f9dfba18398d1929fa5edb2bc56e48c1a12256007697707e3e747c24,true,true,true
42,3,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,892,72,122,134764,9d4fb5c7c7358aa8acced10777206ca52a58e5f7267fc5ea1f86c074fcdae1d4,false,false,false
42,4,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,921,52,102,139123,9878d47f31bec0c38b9029e2e3785151bd05cc912ddb4cd0d80ed4f447f89942,true,true,true
42,5,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,941,112,162,142203,763a41f813beef22097ccb0c85b844d45cb066fea3461b2879c4bddaee8d3c47,true,true,true
42,6,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,1281,16,66,193447,d8c51b5ccb690c618491ade63a7b45b309471b83bc0d33655a1631cf9af4db15,false,false,false
42,7,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,1652,42,92,249494,32b2daf82fe82004fb8a1305ae0da48538fcc17ce18fc38ad23908bd1db0a117,true,true,true
42,8,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,1825,69,119,275644,fa9c52a2230d9915573d3363112cdf3687ef84b139c7c25775e548ca2c0d63ce,true,true,true
42,9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,2014,96,146,304210,e751896dcb842517d3c6bdf3aa578183b7fa6a84d2e6196d7b6af4aa518306e8,false,false,false
42,10,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,2272,54,104,343126,be6730b8881f936b5b088e2a97813f4e27e5afd815033aac07e25ff0ee326175,true,false,true
42,11,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,2767,86,136,417903,601ee9728f4ce5f8d09fa293824e89f90ad765c90c4ba013ef661bcf4a094ad2,false,false,false
